control_id,control_area,control_objective,control_activity,control_type,frequency,control_owner,evidence_required,mapped_risk_id,mapped_asset_id,nist_csf_mapping,nist_80053_family,iso27001_theme,cis_control_theme,cobit_theme,implementation_status,control_maturity,source_reference,source_url,notes
C-001,Access Management,Ensure only authorized users retain access to sensitive academic records based on current job responsibilities.,"Perform quarterly user access review and role recertification for Admin Portal and IAM users. Document reviewer, exceptions, approvals, and removal actions.",Preventive / Detective,Quarterly,IT Manager / System Owner,"User-role export, access review worksheet, exception list, removal confirmation, reviewer sign-off",R-001,A-005; A-009,PR.AA; GV.RR; GV.OV,AC - Access Control; IA - Identification and Authentication,Access control; confidentiality; management review evidence,Account Management; Access Control Management,APO13 / DSS05 security management and access governance concept,Partial,"Access review exists conceptually, but periodic recertification evidence is not fully standardized.",NIST CSF PR.AA/GV.RR/GV.OV; NIST SP 800-53 AC/IA; CIS Account Management; COBIT governance concepts; Indonesia PDP Law,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit; https://peraturan.bpk.go.id/Details/229798/uu-no-27-tahun-2022,Primary control for unauthorized access risk.
C-002,Access Management / User Lifecycle,"Ensure sensitive data access is provisioned, changed, and revoked based on approved role and lifecycle events.","Require formal access request approval for sensitive modules and reconcile active accounts against HR or role-change records for joiner, mover, and leaver events.",Preventive,Per access request; Monthly reconciliation,IT Admin / HR Coordinator / Data Owner,"Access request form, approval record, active user list, HR role-change list, deactivation evidence",R-002; R-010,A-001; A-005; A-009,PR.AA; PR.DS; GV.PO,AC - Access Control; IA - Identification and Authentication; PT - PII Processing and Transparency,Access control; confidentiality; privacy-aware data handling,Account Management; Data Protection,APO13 / DSS05 security management; governance accountability concept,Partial,"Access approval exists, but user lifecycle reconciliation and revocation evidence are incomplete.",NIST CSF PR.AA/PR.DS/GV.PO; NIST SP 800-53 AC/IA/PT; CIS Data Protection; COBIT governance concepts; Indonesia PDP Law,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit; https://peraturan.bpk.go.id/Details/229798/uu-no-27-tahun-2022,Maps to both privacy and user lifecycle risks.
C-003,Logging & Monitoring,Detect and investigate unusual privileged activities that could affect sensitive academic records or system integrity.,"Review admin activity logs on a defined schedule, record exceptions, assign follow-up actions, and retain log review evidence.",Detective,Monthly,IT Security / System Administrator,"Admin activity log extract, log review checklist, exception register, reviewer sign-off, follow-up ticket",R-006,A-005; A-006,DE.CM; GV.OV,AU - Audit and Accountability,Monitoring; accountability; integrity protection,Audit Log Management,DSS05 security monitoring concept,Weak,"System logs are assumed to exist, but periodic review and exception tracking are not consistently documented.",NIST CSF DE.CM/GV.OV; NIST SP 800-53 AU; CIS Audit Log Management; COBIT monitoring concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,This control will likely generate a medium-severity finding in Step 5.
C-004,Backup & Recovery,Ensure critical data and services can be restored within expected recovery needs after disruption.,"Perform documented backup restoration testing for critical academic database and backup storage. Record scope, result, issue, recovery time, and sign-off.",Corrective,Quarterly; before high-risk academic periods,IT Operations Lead,"Backup schedule, restore test log, restoration screenshot, recovery result, issue log, management sign-off",R-003,A-006; A-008,RC.RP; PR.DS; ID.IM,CP - Contingency Planning,Availability; backup; recovery readiness,Data Recovery,DSS04 continuity management concept,Missing,"Backup activity is assumed, but restoration test evidence is not available in the simulated assessment.",NIST CSF RC.RP/PR.DS/ID.IM; NIST SP 800-53 CP; ISO 27001 availability concept; CIS Data Recovery; COBIT continuity concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,High-priority remediation candidate.
C-005,Change Management,"Ensure system changes are approved, tested, documented, and traceable before release.","Use a standard change request process requiring business approval, technical review, UAT evidence, rollback notes, and release confirmation.",Preventive,Per change,System Owner / Change Manager,"Change request form, approval record, UAT result, rollback plan, release note, post-change review",R-004,A-010; A-002; A-005,PR.PS; GV.OV,CM - Configuration Management; SA - System and Services Acquisition,Change control; integrity; operational control,Secure Configuration; Application Software Security,BAI06 managed IT changes concept,Partial,"Change approval is assumed, but UAT evidence and rollback documentation are inconsistent.",NIST CSF PR.PS/GV.OV; NIST SP 800-53 CM/SA; CIS Secure Configuration; COBIT BAI06 managed IT changes concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Important control for system release governance.
C-006,Incident Handling,"Ensure incidents are classified, escalated, communicated, and resolved consistently based on severity.","Define incident severity matrix, escalation SLA, communication owner, ticket categorization, and post-incident review requirement.",Corrective,Per incident; Quarterly process review,Helpdesk Lead / IT Support,"Incident ticket, severity classification, escalation log, communication note, resolution record, post-incident review",R-005,A-011,RS.MA; RS.CO; RS.AN,IR - Incident Response,Incident management; response coordination; availability protection,Incident Response Management,DSS02 managed service requests and incidents concept,Partial,"Tickets are assumed to exist, but severity classification and escalation SLA are not fully standardized.",NIST CSF RS.MA/RS.CO/RS.AN; NIST SP 800-53 IR; CIS Incident Response Management; COBIT service request/incident concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Feeds incident evidence tracker later.
C-007,Vendor / Third-Party Management,"Ensure vendor dependency, support responsibilities, and escalation paths are reviewed and traceable.","Maintain vendor contact, SLA, support scope, escalation path, and periodic SLA review for third-party or SaaS-supported academic services.",Detective / Preventive,Semiannual; after major vendor incidents,Vendor Manager / IT Manager,"Vendor SLA document, support contact list, escalation matrix, review meeting note, issue resolution record",R-007,A-012,GV.SC; GV.OV,SR - Supply Chain Risk Management,Supplier relationship; third-party risk oversight,Service Provider Management,APO10 managed vendors / supplier governance concept,Partial,"Vendor dependency is recognized, but SLA review evidence is not fully formalized.",NIST CSF GV.SC/GV.OV; NIST SP 800-53 SR; CIS Service Provider Management; COBIT APO10 vendor management concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Supports third-party governance narrative.
C-008,Data Retention / Privacy,"Ensure personal data retention and deletion are justified, documented, and periodically reviewed.","Define retention rules for student-related records, review records exceeding retention need, and document deletion or retention justification.",Preventive,Annual; after policy change,Data Owner / Compliance Coordinator,"Data retention schedule, retention review worksheet, deletion approval, exception register, policy review note",R-013,A-001; A-006,PR.DS; GV.PO; GV.OC,PT - PII Processing and Transparency; MP - Media Protection,Privacy; confidentiality; data lifecycle management,Data Protection,APO14 managed data / governance of information concept,Missing,No formal retention schedule or deletion review evidence is assumed in the simulated assessment.,NIST CSF PR.DS/GV.PO/GV.OC; NIST SP 800-53 PT/MP; ISO 27001 confidentiality concept; Indonesia PDP Law,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://peraturan.bpk.go.id/Details/229798/uu-no-27-tahun-2022,High-priority privacy/compliance remediation candidate.
C-009,Security Awareness,"Reduce risk of credential mishandling, social engineering, and improper handling of sensitive academic data.",Deliver periodic security and privacy awareness training for staff with access to academic services and track completion.,Preventive,Annual; onboarding; after major policy update,IT Security / HR Training Coordinator,"Training material, attendance/completion report, quiz result, reminder notice, exception follow-up",R-014,A-005; A-009,PR.AT; GV.RR,AT - Awareness and Training,"Awareness, education, and training; confidentiality protection",Security Awareness and Skills Training,APO07 human resources competency and awareness concept,Weak,"Training may exist informally, but completion tracking and role-based awareness evidence are weak.",NIST CSF PR.AT/GV.RR; NIST SP 800-53 AT; CIS Security Awareness and Skills Training; COBIT APO07 people/skills concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Human risk control for admin users.
C-010,Data Quality / Data Integrity,"Ensure management reports and payment-related status are accurate, complete, and reconciled before use.","Perform reporting data validation and reconciliation checks for key academic, payment status, and dashboard metrics. Document exceptions and correction actions.",Detective,Monthly; per reporting cycle,BI / Reporting Owner / Finance Data Owner,"Validation checklist, reconciliation report, exception log, correction record, dashboard refresh note",R-008; R-011,A-003; A-006; A-007,ID.IM; PR.DS,SI - System and Information Integrity,Integrity; accuracy; reliable information processing,Data Protection; Data Management,APO14 managed data / information quality governance concept,Partial,"Validation is assumed to happen, but reconciliation evidence and exception tracking are not consistently documented.",NIST CSF ID.IM/PR.DS; NIST SP 800-53 SI; ISO 27001 integrity concept; COBIT information quality concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.isaca.org/resources/cobit,Maps to reporting and data integrity risks.
