assessment_id,control_id,test_procedure,design_effectiveness,implementation_status,operating_effectiveness,evidence_status,finding,severity,recommendation,assessment_result,poam_required,source_reference,notes
A-001,C-001,"Inspect the latest user-role export, access review worksheet, exception list, and approval record. Select a sample of privileged users and verify whether access was reviewed and signed off within the quarter.",Adequate,Partial,Partially Effective,Partial,"User access review is defined conceptually, but there is no consistent quarterly sign-off record for privileged access review.",High,"Formalize quarterly user access review with reviewer sign-off, exception tracking, removal evidence, and management approval.",Finding Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 AC/IA; NIST CSF PR.AA/GV.RR; CIS Account Management; UU PDP,This assessment supports access governance and personal data protection readiness.
A-002,C-002,"Review access request forms, approval records, user lifecycle reconciliation, and termination samples. Verify that sensitive access is approved before provisioning and removed after role change or offboarding.",Adequate,Partial,Partially Effective,Partial,"Access approval evidence exists for some requests, but lifecycle reconciliation and removal evidence are incomplete.",High,Implement a monthly joiner-mover-leaver reconciliation and require access removal evidence for role changes and terminations.,Finding Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 AC/IA/PS; NIST CSF PR.AA/PR.DS; CIS Account Management; UU PDP,Maps to both data privacy and user lifecycle risk.
A-003,C-003,"Inspect admin activity log extracts, monthly review checklist, and escalation notes. Verify whether unusual privileged activity is reviewed and exceptions are escalated.",Needs Improvement,Weak,Not Effective,Not Available,"System logs are assumed to exist, but there is no documented monthly admin activity log review or exception escalation evidence.",High,"Define a monthly admin log review procedure, exception criteria, reviewer responsibility, and escalation workflow.",Finding Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 AU; NIST CSF DE.CM/GV.OV; CIS Audit Log Management,Weak logging review increases detection and accountability risk.
A-004,C-004,"Inspect backup schedule, restoration test log, test screenshot, result validation, and management sign-off. Verify whether restoration testing was performed for critical data before peak academic periods.",Adequate,Missing,Not Tested,Not Available,"Backup activity is assumed, but there is no documented restoration test evidence to confirm recovery readiness.",High,"Perform quarterly backup restoration testing and document test scope, result, issues, remediation, and sign-off.",Finding Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 CP; NIST CSF RC.RP/PR.DS; CIS Data Recovery; ISO 27001 availability concept,High-priority availability and continuity remediation candidate.
A-005,C-005,"Review a sample of change requests, approvals, UAT results, rollback notes, and implementation records. Verify whether changes were approved and tested before release.",Adequate,Partial,Partially Effective,Partial,"Change approval exists for some changes, but UAT evidence and rollback documentation are inconsistent.",High,"Standardize change request documentation, UAT sign-off, rollback plan, and post-implementation review before production release.",Finding Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 CM/SA; NIST CSF PR.PS/GV.OV; COBIT BAI06 concept,Important for system release governance.
A-006,C-006,"Inspect incident tickets, severity classification, escalation timestamps, closure notes, and post-incident review records. Verify whether incidents are handled consistently.",Adequate,Partial,Partially Effective,Partial,"Incident tickets are available, but severity classification and escalation evidence are not consistently documented.",Medium,"Define an incident severity matrix, escalation SLA, required ticket fields, and post-incident review checklist.",Observation Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 IR; NIST CSF RS.MA/RS.CO/RS.AN; CIS Incident Response Management,Feeds future incident evidence tracker.
A-007,C-007,"Inspect vendor SLA document, support contact list, escalation procedure, and periodic vendor review notes. Verify whether vendor support expectations and recovery responsibilities are documented.",Adequate,Partial,Partially Effective,Partial,"Vendor dependency is recognized, but SLA review and escalation testing are not consistently documented.",Medium,"Maintain vendor SLA review records, escalation contacts, support scope, and periodic dependency review notes.",Observation Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 SR; NIST CSF GV.SC/GV.OV; CIS Service Provider Management; COBIT vendor governance concept,Supports third-party governance narrative.
A-008,C-008,"Inspect retention schedule, deletion review worksheet, policy approval, and sample data lifecycle evidence. Verify whether personal data retention and deletion are governed.",Needs Improvement,Missing,Not Tested,Not Available,No formal retention schedule or deletion review evidence is available for student-related personal data.,High,"Define data retention rules, deletion review process, data owner approval, and evidence documentation for personal data lifecycle governance.",Finding Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 PT/MP; NIST CSF PR.DS/GV.PO; UU PDP; ISO 27001 confidentiality concept,High-priority privacy and compliance remediation candidate.
A-009,C-009,"Inspect training materials, completion records, onboarding checklist, and awareness communication. Verify whether admin users complete relevant security and privacy awareness activities.",Needs Improvement,Weak,Not Effective,Partial,"Training may exist informally, but completion records and role-specific privacy/security awareness evidence are incomplete.",Medium,Create annual awareness training completion tracking and onboarding awareness checklist for admin users handling sensitive data.,Observation Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 AT; NIST CSF PR.AT/GV.RR; CIS Security Awareness and Skills Training,Human-risk control for admin users.
A-010,C-010,"Review reporting validation checklist, reconciliation output, exception log, and reviewer sign-off. Verify whether reporting data quality checks are performed and documented.",Adequate,Partial,Partially Effective,Partial,"Data validation is performed in some cases, but reconciliation evidence and exception resolution tracking are not standardized.",Medium,"Standardize monthly reporting validation checklist, reconciliation steps, exception owner, and reviewer sign-off.",Observation Raised,Yes,NIST SP 800-53A assessment approach; NIST SP 800-53 SI; NIST CSF ID.IM/PR.DS; ISO 27001 integrity concept,Maps to reporting and data integrity risks.
