poam_id,related_gap_id,related_risk_id,related_control_id,control_area,finding,remediation_action,owner,priority,target_date,status,evidence_required,closure_criteria,dependency,expected_management_outcome,source_reference,source_url,notes
P-001,G-001,R-001,C-001,Access Management,"User access review is defined conceptually, but there is no consistent quarterly sign-off record for privileged access review.","Formalize quarterly user access review with reviewer sign-off, exception tracking, removal evidence, and management approval.",IT Manager / System Owner,High,2026-07-31,Open,"User-role export, access review worksheet, exception list, removal confirmation, reviewer sign-off","Quarterly access review is completed with reviewer sign-off, exception list, removal evidence, and management approval.",User-role export availability and management reviewer assignment,Privileged access is periodically validated and unauthorized access exposure is reduced.,NIST CSF PR.AA/GV.RR/GV.OV; NIST SP 800-53 AC/IA; CIS Account Management; COBIT governance concepts; Indonesia PDP Law,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit; https://peraturan.bpk.go.id/Details/229798/uu-no-27-tahun-2022,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-002,G-002,R-002; R-010,C-002,Access Management / User Lifecycle,"Access approval evidence exists for some requests, but lifecycle reconciliation and removal evidence are incomplete.",Implement a monthly joiner-mover-leaver reconciliation and require access removal evidence for role changes and terminations.,IT Admin / HR Coordinator / Data Owner,High,2026-08-07,Open,"Access request form, approval record, active user list, HR role-change list, deactivation evidence","Joiner-mover-leaver reconciliation is completed, exceptions are resolved, and access removal evidence is retained.",HR role-change list and active user export reconciliation,Sensitive access is aligned with current job responsibility and user lifecycle events.,NIST CSF PR.AA/PR.DS/GV.PO; NIST SP 800-53 AC/IA/PT; CIS Data Protection; COBIT governance concepts; Indonesia PDP Law,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit; https://peraturan.bpk.go.id/Details/229798/uu-no-27-tahun-2022,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-003,G-003,R-006,C-003,Logging & Monitoring,"System logs are assumed to exist, but there is no documented monthly admin activity log review or exception escalation evidence.","Define a monthly admin log review procedure, exception criteria, reviewer responsibility, and escalation workflow.",IT Security / System Administrator,High,2026-08-14,Open,"Admin activity log extract, log review checklist, exception register, reviewer sign-off, follow-up ticket","Monthly admin log review procedure is approved, first review is completed, exceptions are documented, and escalation evidence is retained.",Admin log extraction capability and exception escalation owner,Privileged activity monitoring becomes reviewable and management can detect unusual admin behavior earlier.,NIST CSF DE.CM/GV.OV; NIST SP 800-53 AU; CIS Audit Log Management; COBIT monitoring concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-004,G-004,R-003,C-004,Backup & Recovery,"Backup activity is assumed, but there is no documented restoration test evidence to confirm recovery readiness.","Perform quarterly backup restoration testing and document test scope, result, issues, remediation, and sign-off.",IT Operations Lead,High,2026-08-21,In Progress,"Backup schedule, restore test log, restoration screenshot, recovery result, issue log, management sign-off","Restore test is performed, results are documented, issues are tracked, and IT Operations sign-off is recorded.",Backup scope confirmation and restore test environment availability,Recovery readiness is validated and backup reliability is supported by evidence.,NIST CSF RC.RP/PR.DS/ID.IM; NIST SP 800-53 CP; ISO 27001 availability concept; CIS Data Recovery; COBIT continuity concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-005,G-005,R-004,C-005,Change Management,"Change approval exists for some changes, but UAT evidence and rollback documentation are inconsistent.","Standardize change request documentation, UAT sign-off, rollback plan, and post-implementation review before production release.",System Owner / Change Manager,High,2026-08-28,In Progress,"Change request form, approval record, UAT result, rollback plan, release note, post-change review","Change request, UAT sign-off, rollback plan, and post-implementation review are attached for sampled production changes.","Change request template, UAT checklist, and change owner adoption",System changes become traceable and service disruption risk from undocumented changes is reduced.,NIST CSF PR.PS/GV.OV; NIST SP 800-53 CM/SA; CIS Secure Configuration; COBIT BAI06 managed IT changes concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-006,G-006,R-005,C-006,Incident Handling,"Incident tickets are available, but severity classification and escalation evidence are not consistently documented.","Define an incident severity matrix, escalation SLA, required ticket fields, and post-incident review checklist.",Helpdesk Lead / IT Support,Medium,2026-09-11,Planned,"Incident ticket, severity classification, escalation log, communication note, resolution record, post-incident review","Incident severity matrix, escalation SLA, required ticket fields, and post-incident checklist are approved and used in sample tickets.",Helpdesk ticket field configuration and severity definition agreement,Incident handling becomes more consistent and escalation decisions become auditable.,NIST CSF RS.MA/RS.CO/RS.AN; NIST SP 800-53 IR; CIS Incident Response Management; COBIT service request/incident concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-007,G-007,R-007,C-007,Vendor / Third-Party Management,"Vendor dependency is recognized, but SLA review and escalation testing are not consistently documented.","Maintain vendor SLA review records, escalation contacts, support scope, and periodic dependency review notes.",Vendor Manager / IT Manager,Medium,2026-09-18,Planned,"Vendor SLA document, support contact list, escalation matrix, review meeting note, issue resolution record","Vendor SLA review record, escalation contacts, support scope, and dependency review notes are documented.",Vendor contract/SLA documentation and escalation contact confirmation,Critical vendor dependency is monitored and escalation readiness is improved.,NIST CSF GV.SC/GV.OV; NIST SP 800-53 SR; CIS Service Provider Management; COBIT APO10 vendor management concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-008,G-008,R-013,C-008,Data Retention / Privacy,No formal retention schedule or deletion review evidence is available for student-related personal data.,"Define data retention rules, deletion review process, data owner approval, and evidence documentation for personal data lifecycle governance.",Data Owner / Compliance Coordinator,High,2026-08-21,Open,"Data retention schedule, retention review worksheet, deletion approval, exception register, policy review note","Retention schedule, deletion review process, approval record, and evidence log are created for student-related personal data.",Data owner approval and retention category definition,Personal data retention becomes governed and privacy compliance readiness improves.,NIST CSF PR.DS/GV.PO/GV.OC; NIST SP 800-53 PT/MP; ISO 27001 confidentiality concept; Indonesia PDP Law,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://peraturan.bpk.go.id/Details/229798/uu-no-27-tahun-2022,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-009,G-009,R-014,C-009,Security Awareness,"Training may exist informally, but completion records and role-specific privacy/security awareness evidence are incomplete.",Create annual awareness training completion tracking and onboarding awareness checklist for admin users handling sensitive data.,IT Security / HR Training Coordinator,Medium,2026-09-25,Planned,"Training material, attendance/completion report, quiz result, reminder notice, exception follow-up","Annual training tracker and onboarding awareness checklist are created, and completion records are retained for admin users.",Training material ownership and HR training tracker setup,Users handling sensitive data receive traceable privacy and security awareness coverage.,NIST CSF PR.AT/GV.RR; NIST SP 800-53 AT; CIS Security Awareness and Skills Training; COBIT APO07 people/skills concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.cisecurity.org/controls; https://www.isaca.org/resources/cobit,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
P-010,G-010,R-008; R-011,C-010,Data Quality / Data Integrity,"Data validation is performed in some cases, but reconciliation evidence and exception resolution tracking are not standardized.","Standardize monthly reporting validation checklist, reconciliation steps, exception owner, and reviewer sign-off.",BI / Reporting Owner / Finance Data Owner,Medium,2026-09-25,In Progress,"Validation checklist, reconciliation report, exception log, correction record, dashboard refresh note","Monthly validation checklist, reconciliation evidence, exception log, and reviewer sign-off are completed for key reports.","Agreement on key reporting fields, reconciliation sources, and exception owner",Reporting quality improves and management decisions become less exposed to unresolved data issues.,NIST CSF ID.IM/PR.DS; NIST SP 800-53 SI; ISO 27001 integrity concept; COBIT information quality concept,https://www.nist.gov/cyberframework; https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final; https://www.isaca.org/resources/cobit,Simulated POA&M item created from Step 5 control assessment result and Step 6 gap analysis.
