evidence_id,control_id,assessment_id,poam_id,control_area,evidence_required,evidence_owner,collection_frequency,evidence_status,review_outcome,evidence_repository_path,reviewer_role,gap_or_issue,action_required,evidence_due_date,confidentiality_classification,retention_guidance,notes
E-001,C-001,A-001,P-001,Access Management,"User-role export, access review worksheet, exception list, removal confirmation, reviewer sign-off",IT Manager / System Owner,Quarterly,Partial,Review incomplete - evidence set is partial,Not collected - synthetic case study,IT GRC Analyst (simulated),"User access review is defined conceptually, but there is no consistent quarterly sign-off record for privileged access review.","Formalize quarterly user access review with reviewer sign-off, exception tracking, removal evidence, and management approval.",2026-07-31,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-002,C-002,A-002,P-002,Access Management / User Lifecycle,"Access request form, approval record, active user list, HR role-change list, deactivation evidence",IT Admin / HR Coordinator / Data Owner,Per access request; Monthly reconciliation,Partial,Review incomplete - evidence set is partial,Not collected - synthetic case study,IT GRC Analyst (simulated),"Access approval evidence exists for some requests, but lifecycle reconciliation and removal evidence are incomplete.",Implement a monthly joiner-mover-leaver reconciliation and require access removal evidence for role changes and terminations.,2026-08-07,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-003,C-003,A-003,P-003,Logging & Monitoring,"Admin activity log extract, log review checklist, exception register, reviewer sign-off, follow-up ticket",IT Security / System Administrator,Monthly,Not Available,Not reviewable - evidence is unavailable,Not collected - synthetic case study,IT GRC Analyst (simulated),"System logs are assumed to exist, but there is no documented monthly admin activity log review or exception escalation evidence.","Define a monthly admin log review procedure, exception criteria, reviewer responsibility, and escalation workflow.",2026-08-14,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-004,C-004,A-004,P-004,Backup & Recovery,"Backup schedule, restore test log, restoration screenshot, recovery result, issue log, management sign-off",IT Operations Lead,Quarterly; before high-risk academic periods,Not Available,Not reviewable - evidence is unavailable,Not collected - synthetic case study,IT GRC Analyst (simulated),"Backup activity is assumed, but there is no documented restoration test evidence to confirm recovery readiness.","Perform quarterly backup restoration testing and document test scope, result, issues, remediation, and sign-off.",2026-08-21,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-005,C-005,A-005,P-005,Change Management,"Change request form, approval record, UAT result, rollback plan, release note, post-change review",System Owner / Change Manager,Per change,Partial,Review incomplete - evidence set is partial,Not collected - synthetic case study,IT GRC Analyst (simulated),"Change approval exists for some changes, but UAT evidence and rollback documentation are inconsistent.","Standardize change request documentation, UAT sign-off, rollback plan, and post-implementation review before production release.",2026-08-28,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-006,C-006,A-006,P-006,Incident Handling,"Incident ticket, severity classification, escalation log, communication note, resolution record, post-incident review",Helpdesk Lead / IT Support,Per incident; Quarterly process review,Partial,Review incomplete - evidence set is partial,Not collected - synthetic case study,IT GRC Analyst (simulated),"Incident tickets are available, but severity classification and escalation evidence are not consistently documented.","Define an incident severity matrix, escalation SLA, required ticket fields, and post-incident review checklist.",2026-09-11,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-007,C-007,A-007,P-007,Vendor / Third-Party Management,"Vendor SLA document, support contact list, escalation matrix, review meeting note, issue resolution record",Vendor Manager / IT Manager,Semiannual; after major vendor incidents,Partial,Review incomplete - evidence set is partial,Not collected - synthetic case study,IT GRC Analyst (simulated),"Vendor dependency is recognized, but SLA review and escalation testing are not consistently documented.","Maintain vendor SLA review records, escalation contacts, support scope, and periodic dependency review notes.",2026-09-18,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-008,C-008,A-008,P-008,Data Retention / Privacy,"Data retention schedule, retention review worksheet, deletion approval, exception register, policy review note",Data Owner / Compliance Coordinator,Annual; after policy change,Not Available,Not reviewable - evidence is unavailable,Not collected - synthetic case study,IT GRC Analyst (simulated),No formal retention schedule or deletion review evidence is available for student-related personal data.,"Define data retention rules, deletion review process, data owner approval, and evidence documentation for personal data lifecycle governance.",2026-08-21,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-009,C-009,A-009,P-009,Security Awareness,"Training material, attendance/completion report, quiz result, reminder notice, exception follow-up",IT Security / HR Training Coordinator,Annual; onboarding; after major policy update,Partial,Review incomplete - evidence set is partial,Not collected - synthetic case study,IT GRC Analyst (simulated),"Training may exist informally, but completion records and role-specific privacy/security awareness evidence are incomplete.",Create annual awareness training completion tracking and onboarding awareness checklist for admin users handling sensitive data.,2026-09-25,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
E-010,C-010,A-010,P-010,Data Quality / Data Integrity,"Validation checklist, reconciliation report, exception log, correction record, dashboard refresh note",BI / Reporting Owner / Finance Data Owner,Monthly; per reporting cycle,Partial,Review incomplete - evidence set is partial,Not collected - synthetic case study,IT GRC Analyst (simulated),"Data validation is performed in some cases, but reconciliation evidence and exception resolution tracking are not standardized.","Standardize monthly reporting validation checklist, reconciliation steps, exception owner, and reviewer sign-off.",2026-09-25,Internal - Synthetic,Organization-specific; not assessed in this simulation,"Tracker row derived from simulated assessment data. No real evidence file, review, audit, or certification result is claimed."
